GRD_INSPIR_100;RAHVAARV_KOKKU;RAHVAARV_ELUHOONES;RAHVAARV_KESKUSES
100mN64711E06594;38;38;0
100mN64712E06596;6;6;0
100mN64714E06599;22;22;0
100mN64708E06623;8;8;0
100mN64709E06624;8;8;0
100mN64714E06622;10;10;0
100mN64714E06624;2;2;0
100mN64717E06575;145;145;0
100mN64723E06575;19;19;0
100mN64723E06576;31;31;0
100mN64722E06576;10;10;0
100mN64723E06577;25;25;0
100mN64718E06580;18;18;0
100mN64725E06582;31;31;0
100mN64725E06584;24;24;0
100mN64727E06582;35;35;0
100mN64720E06582;31;31;0
100mN64723E06586;29;29;0
100mN64722E06588;27;27;0
100mN64732E06573;29;29;0
100mN64721E06584;17;17;0
100mN64722E06584;33;33;0
100mN64722E06590;13;13;0
100mN64726E06586;34;34;0
100mN64718E06588;11;11;0
100mN64719E06588;34;34;0
100mN64727E06591;46;46;0
100mN64734E06576;35;35;0
100mN64737E06573;25;25;0
100mN64720E06588;33;33;0
100mN64720E06589;2;2;0
100mN64737E06574;55;55;0
100mN64736E06576;18;18;0
100mN64730E06573;4;4;0
100mN64729E06583;41;41;0
100mN64730E06583;12;12;0
100mN64730E06580;13;13;0
100mN64723E06583;64;64;0
100mN64730E06577;5;5;0
100mN64732E06575;23;23;0
100mN64736E06577;12;12;0
100mN64728E06583;23;23;0
100mN64728E06586;5;5;0
100mN64725E06579;39;39;0
100mN64726E06579;35;35;0
100mN64715E06567;10;10;0
100mN64712E06584;39;39;0
100mN64713E06582;49;49;0
100mN64711E06571;266;266;0
100mN64707E06587;13;13;0
100mN64707E06589;17;17;0
100mN64705E06588;25;25;0
100mN64706E06592;38;38;0
100mN64707E06592;32;32;0
100mN64708E06590;25;25;0
100mN64710E06587;3;3;0
100mN64748E06597;57;57;0
100mN64746E06598;1;1;0
100mN64747E06598;10;10;0
100mN64747E06600;20;20;0
100mN64738E06617;321;321;0
100mN64743E06605;8;8;0
100mN64743E06609;257;257;0
100mN64744E06609;39;39;0
100mN64739E06623;15;15;0
100mN64743E06613;49;49;0
100mN64745E06612;4;4;0
100mN64743E06615;2;2;0
100mN64747E06613;2;2;0
100mN64748E06613;6;6;0
100mN64746E06623;1;1;0
100mN64750E06598;22;22;0
100mN64719E06628;17;17;0
100mN64719E06629;25;25;0
100mN64749E06598;56;56;0
100mN64720E06631;5;5;0
100mN64717E06633;14;14;0
100mN64724E06635;5;5;0
100mN64753E06595;158;158;0
100mN64753E06596;2;2;0
100mN64752E06598;36;36;0
100mN64752E06601;4;4;0
100mN64753E06599;18;18;0
100mN64766E06581;36;36;0
100mN64766E06585;7;7;0
100mN64753E06601;16;16;0
100mN64754E06601;9;9;0
100mN64750E06607;60;60;0
100mN64755E06594;23;23;0
100mN64766E06592;21;21;0
100mN64774E06573;9;9;0
100mN64755E06598;29;29;0
100mN64754E06599;67;67;0
100mN64749E06611;12;12;0
100mN64762E06598;6;6;0
100mN64762E06584;5;5;0
100mN64764E06585;25;25;0
100mN64702E06625;5;5;0
100mN64702E06626;19;19;0
100mN64703E06625;4;4;0
100mN64702E06629;7;7;0
100mN64703E06629;6;6;0
100mN64703E06630;6;6;0
100mN64705E06628;7;7;0
100mN64705E06627;1;1;0
100mN64706E06631;5;5;0
100mN64708E06632;15;15;0
100mN64709E06631;12;12;0
100mN64711E06626;2;2;0
100mN64712E06626;3;3;0
100mN64713E06625;2;2;0
100mN64713E06632;7;7;0
100mN64716E06628;8;8;0
100mN64714E06632;13;13;0
100mN64715E06633;5;5;0
100mN64744E06600;24;24;0
100mN64748E06603;38;38;0
100mN64748E06604;1;1;0
100mN64746E06597;2;2;0
100mN64745E06608;4;4;0
100mN64738E06572;129;129;0
100mN64744E06577;35;35;0
100mN64745E06576;58;58;0
100mN64746E06577;15;15;0
100mN64748E06577;22;22;0
100mN64739E06581;107;107;0
100mN64739E06584;94;94;0
100mN64740E06583;137;137;0
100mN64741E06578;17;17;0
100mN64741E06582;47;47;0
100mN64742E06584;48;48;0
100mN64740E06586;25;25;0
100mN64740E06592;2;2;0
100mN64743E06593;56;56;0
100mN64744E06580;91;91;0
100mN64745E06585;31;31;0
100mN64746E06585;24;24;0
100mN64739E06607;176;176;0
100mN64744E06583;47;47;0
100mN64750E06588;27;27;0
100mN64751E06589;33;33;0
