area,year,value,value_total
Eesti,1999,785,"65,324"
Tallinn,1999,304,30892
Tallinna eeslinn,1999,19,13438
Tartu,1999,139,5149
Tartu eeslinn,1999,13,4091
Pärnu,1999,26,2331
Pärnu eeslinn,1999,62,1375
Eesti,2000,720,"65,324"
Tallinn,2000,424,30892
Tallinna eeslinn,2000,28,13438
Tartu,2000,59,5149
Tartu eeslinn,2000,13,4091
Pärnu,2000,30,2331
Pärnu eeslinn,2000,19,1375
Eesti,2001,619,"65,324"
Tallinn,2001,306,30892
Tallinna eeslinn,2001,17,13438
Tartu,2001,102,5149
Tartu eeslinn,2001,7,4091
Pärnu,2001,71,2331
Pärnu eeslinn,2001,23,1375
Eesti,2002,"1,135","65,324"
Tallinn,2002,624,30892
Tallinna eeslinn,2002,87,13438
Tartu,2002,102,5149
Tartu eeslinn,2002,8,4091
Pärnu,2002,97,2331
Pärnu eeslinn,2002,43,1375
Eesti,2003,"2,435","65,324"
Tallinn,2003,1287,30892
Tallinna eeslinn,2003,274,13438
Tartu,2003,242,5149
Tartu eeslinn,2003,32,4091
Pärnu,2003,152,2331
Pärnu eeslinn,2003,28,1375
Eesti,2004,"3,105","65,324"
Tallinn,2004,1479,30892
Tallinna eeslinn,2004,383,13438
Tartu,2004,247,5149
Tartu eeslinn,2004,82,4091
Pärnu,2004,295,2331
Pärnu eeslinn,2004,38,1375
Eesti,2005,"3,928","65,324"
Tallinn,2005,1695,30892
Tallinna eeslinn,2005,958,13438
Tartu,2005,336,5149
Tartu eeslinn,2005,87,4091
Pärnu,2005,412,2331
Pärnu eeslinn,2005,47,1375
Eesti,2006,"5,068","65,324"
Tallinn,2006,2000,30892
Tallinna eeslinn,2006,1195,13438
Tartu,2006,903,5149
Tartu eeslinn,2006,209,4091
Pärnu,2006,161,2331
Pärnu eeslinn,2006,99,1375
Eesti,2007,"7,073","65,324"
Tallinn,2007,3121,30892
Tallinna eeslinn,2007,1906,13438
Tartu,2007,499,5149
Tartu eeslinn,2007,238,4091
Pärnu,2007,306,2331
Pärnu eeslinn,2007,272,1375
Eesti,2008,"5,300","65,324"
Tallinn,2008,3026,30892
Tallinna eeslinn,2008,689,13438
Tartu,2008,341,5149
Tartu eeslinn,2008,372,4091
Pärnu,2008,193,2331
Pärnu eeslinn,2008,48,1375
Eesti,2009,"3,026","65,324"
Tallinn,2009,1591,30892
Tallinna eeslinn,2009,638,13438
Tartu,2009,57,5149
Tartu eeslinn,2009,211,4091
Pärnu,2009,33,2331
Pärnu eeslinn,2009,46,1375
Eesti,2010,"2,324","65,324"
Tallinn,2010,1266,30892
Tallinna eeslinn,2010,381,13438
Tartu,2010,178,5149
Tartu eeslinn,2010,142,4091
Pärnu,2010,35,2331
Pärnu eeslinn,2010,28,1375
Eesti,2011,"1,918","65,324"
Tallinn,2011,1021,30892
Tallinna eeslinn,2011,411,13438
Tartu,2011,80,5149
Tartu eeslinn,2011,119,4091
Pärnu,2011,47,2331
Pärnu eeslinn,2011,31,1375
Eesti,2012,"1,990","65,324"
Tallinn,2012,908,30892
Tallinna eeslinn,2012,422,13438
Tartu,2012,94,5149
Tartu eeslinn,2012,151,4091
Pärnu,2012,41,2331
Pärnu eeslinn,2012,66,1375
Eesti,2013,"2,079","65,324"
Tallinn,2013,713,30892
Tallinna eeslinn,2013,524,13438
Tartu,2013,212,5149
Tartu eeslinn,2013,187,4091
Pärnu,2013,28,2331
Pärnu eeslinn,2013,48,1375
Eesti,2014,"2,756","65,324"
Tallinn,2014,1132,30892
Tallinna eeslinn,2014,651,13438
Tartu,2014,159,5149
Tartu eeslinn,2014,373,4091
Pärnu,2014,30,2331
Pärnu eeslinn,2014,45,1375
Eesti,2015,"3,969","65,324"
Tallinn,2015,1850,30892
Tallinna eeslinn,2015,830,13438
Tartu,2015,313,5149
Tartu eeslinn,2015,401,4091
Pärnu,2015,22,2331
Pärnu eeslinn,2015,97,1375
Eesti,2016,"4,732","65,324"
Tallinn,2016,2264,30892
Tallinna eeslinn,2016,1092,13438
Tartu,2016,232,5149
Tartu eeslinn,2016,460,4091
Pärnu,2016,81,2331
Pärnu eeslinn,2016,94,1375
Eesti,2017,"5,890","65,324"
Tallinn,2017,2732,30892
Tallinna eeslinn,2017,1373,13438
Tartu,2017,340,5149
Tartu eeslinn,2017,581,4091
Pärnu,2017,155,2331
Pärnu eeslinn,2017,131,1375
Eesti,2018,"6,472","65,324"
Tallinn,2018,3149,30892
Tallinna eeslinn,2018,1560,13438
Tartu,2018,514,5149
Tartu eeslinn,2018,405,4091
Pärnu,2018,116,2331
Pärnu eeslinn,2018,110,1375
