Linnaosa;Parkimiskohtade pindala (20m²/pk);Parkimiskohtade pindala (25m²/pk);Parkimiskohtade pindala (30m²/pk);Parkimiskohtade pindala (40m²/pk);Kaubandus- ja teeninduruumide pindala (m²);Meelelahutus-, haridus- tervishoiu- ja muude avalike ruumide pindala (m²);Tööstus- ja laoruumide pindala (m²);Eluruumide pindala (m²);Bürooruumide pindala (m²);Tänavavõrgu pindala (m²);Jalakäija ruumi pindala (m²)
Lasnamäe linnaosa;99260;124075;148890;198520;48833.3;37185.5;11974.5;307561.1;39068;128504.8;104151
Põhja-Tallinna linnaosa;18140;22675;27210;36280;2336.5;10209;171.6;41410.9;13598.7;16242.7;17307.2
Nõmme linnaosa;24080;30100;36120;48160;6026;69.7;74568.3;45423.7;11364.7;164301.1;83901.1
Haabersti linnaosa;23700;29625;35550;47400;0;151.3;0;103248.5;752.3;59473.3;19163.2
Haabersti linnaosa;163380;204225;245070;326760;19365.8;80019.3;8349.6;703068.5;12224.7;301540.2;220117.7
Põhja-Tallinna linnaosa;13520;16900;20280;27040;1575.3;1618.3;46768.2;8220.8;15425.9;246961.5;19281.3
Põhja-Tallinna linnaosa;49460;61825;74190;98920;5697.3;27488.2;119021.7;168880.8;24922.5;233295.3;65824.5
Kesklinna linnaosa;41300;51625;61950;82600;3362.1;34963.5;2532.7;200988.5;68678.1;98929.7;67854.1
Kesklinna linnaosa;55880;69850;83820;111760;40265.8;80946.6;4219.7;171869.3;154682.6;167045.2;161663.1
Pirita linnaosa;40020;50025;60030;80040;4197.6;5489.4;0;142402.6;0;137191.4;47967.6
Pirita linnaosa;3280;4100;4920;6560;35.9;0;0;15378;146.5;47099.2;65666.8
Põhja-Tallinna linnaosa;111860;139825;167790;223720;32767.6;83665.1;117940.3;345527.3;72983.4;199381.4;174384.4
