body_eng,body_est,proportion
Media and Journalism,Meedia esindajad ja ajakirjanikud,42.3
Research and Academia,Teadlased,21.14
Politics and Public Service,Poliitikud ja ametnikud,15.43
Art and Culture,Kunstnikud ja kultuuritöötajad,7.43
Consultancy,Konsultandid,3.71
Entrepreneurship,Ettevõtjad,3.71
Interest Groups,Huvirühmad,3.14
Readership,Lugejad,3.14
