area,condition,value
Tallinn,Värskelt remonditud või hea seisukord,69
Tallinn,Remonti vajav,31
Harjumaa (v. a. Tallinn,Värskelt remonditud või hea seisukord,55.1
Harjumaa (v. a. Tallinn,Remonti vajav,44.9
Regionaalsed keskused (v. a. Tallinn),Värskelt remonditud või hea seisukord,54.6
Regionaalsed keskused (v. a. Tallinn),Remonti vajav,45.3
Väikelinnad ja maa (v.a. Harjumaa),Värskelt remonditud või hea seisukord,39
Väikelinnad ja maa (v.a. Harjumaa),Remonti vajav,60.9
