iso3,country_name,hdi_2017,hdi_2014,country,epi_current,eco_current
SAU,Saudi Arabia,0.853,0.852,Saudi Arabia,57.47,47.25
SEN,Senegal,0.505,0.486,Senegal,49.52,50.83
SRB,Serbia,0.787,0.775,Serbia,57.49,55.03
SYC,Seychelles,0.797,0.786,Seychelles,66.02,58.22
SLE,Sierra Leone,0.419,0.423,Sierra Leone,42.54,43.03
SGP,Singapore,0.932,0.928,Singapore,64.23,58.96
SVK,Slovakia,0.855,0.845,Slovakia,70.6,75.08
SVN,Slovenia,0.896,0.887,Slovenia,67.57,64.4
SLB,Solomon Islands,0.546,0.539,Solomon Islands,43.22,38.93
ZAF,South Africa,0.699,0.685,South Africa,44.73,50.01
SSD,South Sudan,0.388,0.397,,,
ESP,Spain,0.891,0.88,Spain,78.39,67.85
LKA,Sri Lanka,0.77,0.763,Sri Lanka,60.61,57.88
SDN,Sudan,0.502,0.492,Sudan,51.49,52.43
SUR,Suriname,0.72,0.718,Suriname,54.2,48.68
SWE,Sweden,0.933,0.92,Sweden,80.51,71.24
CHE,Switzerland,0.944,0.939,Switzerland,87.42,83.32
SYR,Syrian Arab Republic,0.536,0.55,,,
TJK,Tajikistan,0.65,0.645,Tajikistan,47.85,62.24
TZA,Tanzania (United Republic of),0.538,0.515,Tanzania,50.83,54.71
THA,Thailand,0.755,0.735,Thailand,49.88,52.33
MKD,The former Yugoslav Republic of Macedonia,0.757,0.747,Macedonia,61.06,56.82
TLS,Timor-Leste,0.625,0.61,Timor-Leste,49.54,48.56
TGO,Togo,0.503,0.481,Togo,41.78,44.14
TON,Tonga,0.726,0.717,Tonga,62.49,62.48
TTO,Trinidad and Tobago,0.784,0.779,Trinidad and Tobago,67.36,57.96
TUN,Tunisia,0.735,0.725,Tunisia,62.35,49.83
TUR,Turkey,0.791,0.778,Turkey,52.96,40.57
TKM,Turkmenistan,0.706,0.697,Turkmenistan,66.1,61.15
UGA,Uganda,0.516,0.5,Uganda,44.28,51.38
UKR,Ukraine,0.751,0.748,Ukraine,52.87,45.16
ARE,United Arab Emirates,0.863,0.855,United Arab Emirates,58.9,52.92
GBR,United Kingdom,0.922,0.919,United Kingdom,79.89,69.13
USA,United States,0.924,0.918,United States of America,71.19,56.04
URY,Uruguay,0.804,0.801,Uruguay,64.65,51.27
UZB,Uzbekistan,0.71,0.695,Uzbekistan,45.88,42.69
VUT,Vanuatu,0.603,0.598,Vanuatu,44.55,40.61
VEN,Venezuela (Bolivarian Republic of),0.761,0.778,Venezuela,63.89,55.99
VNM,Viet Nam,0.694,0.678,Viet Nam,46.96,46.86
YEM,Yemen,0.452,0.505,,,
ZMB,Zambia,0.588,0.58,Zambia,50.97,63.91
ZWE,Zimbabwe,0.535,0.525,Zimbabwe,43.41,45.3
