area,variable,value
Tallinn,Pehkinud või rõske,7.8
Tallinn,Tualett või dušš puudu,1.9
Harjumaa (v. a. Tallinn,Pehkinud või rõske,9.6
Harjumaa (v. a. Tallinn,Tualett või dušš puudu,7.3
Regionaalsed keskused (v. a. Tallinn),Pehkinud või rõske,11.1
Regionaalsed keskused (v. a. Tallinn),Tualett või dušš puudu,8.6
Väikelinnad ja maa (v.a. Harjumaa),Pehkinud või rõske,19.9
Väikelinnad ja maa (v.a. Harjumaa),Tualett või dušš puudu,15.4
