area,variable,value
Tallinn,omanik,77
Tallinn,üürnik,20
Tallinn,riik/omavalitsus,3
Harjumaa (v. a. Tallinn,omanik,88
Harjumaa (v. a. Tallinn,üürnik,11
Harjumaa (v. a. Tallinn,riik/omavalitsus,1
Regionaalsed keskused (v. a. Tallinn),omanik,79
Regionaalsed keskused (v. a. Tallinn),üürnik,19
Regionaalsed keskused (v. a. Tallinn),riik/omavalitsus,2
Väikelinnad ja maa (v.a. Harjumaa),omanik,84
Väikelinnad ja maa (v.a. Harjumaa),üürnik,15
Väikelinnad ja maa (v.a. Harjumaa),riik/omavalitsus,1
