group,time_period,value
Tehisalade kadu,2000–2006,1503
Tehisalade kadu,2006–2012,601
Tehisalade kadu,2012–2018,81
Karjääride ja turbaväljade võsastumine / metsastumine,2000–2006,1340
Karjääride ja turbaväljade võsastumine / metsastumine,2006–2012,513
Karjääride ja turbaväljade võsastumine / metsastumine,2012–2018,23
Vabaaja- ja puhkealade kasv asulatest väljas,2000–2006,175
Vabaaja- ja puhkealade kasv asulatest väljas,2006–2012,151
Vabaaja- ja puhkealade kasv asulatest väljas,2012–2018,284
Veesilmade kasv,2000–2006,241
Veesilmade kasv,2006–2012,68
Veesilmade kasv,2012–2018,49
