area,variable,value
Tallinn,Eramaja,14
Tallinn,Korter väikeses elamus,7
Tallinn,Korter suures elamus,79
Maapiirkonnad (v.a. Harjumaa),Eramaja,62
Maapiirkonnad (v.a. Harjumaa),Korter väikeses elamus,9
Maapiirkonnad (v.a. Harjumaa),Korter suures elamus,29
