"Üksuse kood";"Üksus";"Väärtus";
"2991";"Kesu küla";"0";
"2993";"Kibaru küla";"0";
"4602";"Lõiuse küla";"49";
"4607";"Lõo küla";"96";
"4610";"Lõpe küla";"0";
"4611";"Lõpe küla";"98";
"4612";"Lõpe küla";"92";
"4613";"Lõpe küla";"0";
"4614";"Lõpemetsa küla";"0";
"4615";"Lõpi küla";"0";
"4617";"Lõuka küla";"0";
"4623";"Lõõla küla";"97";
"4626";"Lähevere küla";"25";
"4628";"Lähkma küla";"100";
"4629";"Lähte alevik";"100";
"4632";"Väike-Lähtru küla";"0";
"4633";"Lähtse küla";"88";
"4634";"Lähtse küla";"0";
"4638";"Läpi küla";"84";
"4641";"Läsna küla";"33";
"4644";"Läste küla";"39";
"4647";"Läti küla";"11";
"4648";"Läti küla";"0";
"4650";"Lätkalu küla";"0";
"4658";"Lääniste küla";"78";
"4665";"Lööne küla";"0";
"4667";"Lööra küla";"27";
"4669";"Lüganuse alevik";"86";
"4672";"Lükati küla";"0";
"4681";"Lümandu küla";"0";
"4683";"Lümandu küla";"0";
"4685";"Lümati küla";"0";
"4688";"Lümatu küla";"0";
"4692";"Lüübnitsa küla";"100";
"4695";"Maade küla";"0";
"4696";"Lüüste küla";"4";
"4699";"Maalasti küla";"0";
"4702";"Maardla küla";"0";
"4704";"Maardu küla";"96";
"4707";"Maaritsa küla";"95";
"4709";"Maarja-Magdaleena küla";"0";
"4713";"Maasi küla";"98";
"4717";"Madila küla";"47";
"5201";"Mäeltküla";"40";
"5202";"Mäense küla";"0";
"5203";"Mäeltse küla";"100";
"5206";"Mäeotsa küla";"12";
"5208";"Mäepea küla";"3";
"5211";"Mäeselja küla";"31";
"5212";"Mäetaguse küla";"87";
"5213";"Mäetaguse alevik";"99";
"5214";"Mäeküla";"79";
"5215";"Mägede küla";"0";
"5216";"Mägari küla";"0";
"5217";"Mäetaguse küla";"87";
"5219";"Mägestiku küla";"44";
"5220";"Mägi-Kurdla küla";"100";
"5221";"Mägiotsa küla";"51";
"5226";"Mägise küla";"8";
"5235";"Mäiste küla";"0";
"5237";"Mähma küla";"100";
"5240";"Mäksa küla";"59";
"5243";"Mäla küla";"0";
"5245";"Mäletjärve küla";"2";
"5246";"Mäliste küla";"0";
"5247";"Mäliküla";"0";
"5248";"Mälgi küla";"73";
"5250";"Mälivere küla";"97";
"5253";"Mällikvere küla";"79";
"5254";"Mällu küla";"0";
"5310";"Möllatsi küla";"5";
"5317";"Mündi küla";"89";
"5320";"Müüriku küla";"96";
"5322";"Müüsleri küla";"96";
"5327";"Naage küla";"94";
"5328";"Naartse küla";"100";
"5329";"Nabala küla";"100";
"5374";"Nava küla";"0";
"5375";"Navesti küla";"88";
"5382";"Neanurme küla";"65";
"5385";"Nedrema küla";"100";
"5390";"Neemi küla";"0";
"5393";"Neemisküla";"100";
"5395";"Neeruti küla";"0";
"5396";"Neeruti küla";"4";
"5399";"Nehatu küla";"0";
"6004";"Pariisi küla";"89";
"6007";"Parika küla";"87";
"6009";"Parila küla";"1";
"6012";"Parisselja küla";"78";
"6013";"Parivere küla";"100";
"6022";"Partsaare küla";"0";
"6024";"Partsi küla";"100";
"6026";"Passi küla";"100";
"6029";"Paslepa küla / Pasklep";"0";
"6031";"Pastaku küla";"95";
"6034";"Pataste küla";"0";
"6036";"Patika küla";"93";
"6037";"Patika küla";"29";
"6040";"Patjala küla";"0";
"6048";"Pauastvere küla";"100";
"6050";"Pauliku küla";"100";
"6052";"Paunaste küla";"0";
"6053";"Paunküla";"94";
"6054";"Peantse küla";"0";
"6055";"Peanse küla";"73";
"6057";"Peatskivi küla";"95";
"6060";"Pedajamäe küla";"83";
"6062";"Pedase küla";"0";
"6067";"Pedassaare küla";"0";
"6071";"Pedaste küla";"50";
"6073";"Pedja küla";"49";
"6077";"Peederga küla";"0";
"6079";"Peedu küla";"71";
"6081";"Peeri küla";"23";
"6082";"Peerni küla";"41";
"6085";"Peetri alevik";"100";
"6086";"Peetri alevik";"30";
"6090";"Peetrimõisa küla";"99";
"6096";"Penijõe küla";"0";
"6098";"Peningi küla";"0";
"6743";"Rahumäe küla";"85";
"6748";"Raigaste küla";"93";
"6751";"Raigastvere küla";"0";
"6753";"Raigla küla";"0";
"6756";"Raigu küla";"0";
"6758";"Raikküla";"95";
"6764";"Raja küla";"100";
"6765";"Raja küla";"55";
"6767";"Rajaküla";"61";
"6768";"Rajaküla";"25";
"6771";"Raka küla";"53";
"6772";"Raka küla";"69";
"6775";"Rakke alevik";"99";
"6778";"Rame küla";"0";
"6780";"Ramma küla";"0";
"6783";"Rammuka küla";"0";
"6789";"Ramsi alevik";"100";
"6792";"Randivälja küla";"77";
"6794";"Randküla";"100";
"6799";"Randvere küla";"25";
"6800";"Rangu küla";"57";
"6801";"Rannaküla";"62";
"6802";"Rannaküla";"0";
"6803";"Ranna küla";"100";
"6805";"Rannajõe küla";"97";
"6808";"Rannaküla";"0";
"6809";"Rannaküla";"0";
"6811";"Rannametsa küla";"77";
"6814";"Rannamõisa küla";"58";
"5333";"Nadalama küla";"90";
"5334";"Nadalama küla";"100";
"5337";"Naelavere küla";"92";
"5340";"Naha küla";"96";
"5343";"Nahkjala küla";"59";
"5344";"Naissoo küla";"100";
"5348";"Naistevalla küla";"0";
"5349";"Naistevalla küla";"0";
"5351";"Napanurga küla";"0";
"5352";"Naistevälja küla";"0";
"5353";"Naravere küla";"43";
"5358";"Nasja küla";"23";
"5360";"Nasva küla";"100";
"5367";"Nautrasi küla";"87";
"5370";"Nautse küla";"79";
"5373";"Nava küla";"100";
"6847";"Raudla küla";"0";
"6850";"Raudlepa küla";"84";
"6852";"Raudna küla";"100";
"6855";"Raudoja küla";"0";
"6860";"Raudvere küla";"48";
"6861";"Raugi küla";"0";
"6862";"Raugu küla";"0";
"6863";"Raukla küla";"76";
"6865";"Rauksi küla";"0";
"6866";"Rausvere küla";"100";
"6869";"Rava küla";"79";
"6870";"Rava küla";"0";
"6872";"Raveliku küla";"55";
"6875";"Ravila alevik";"100";
"6879";"Reastvere küla";"0";
"6882";"Rebala küla";"100";
"6884";"Rebase küla";"83";
"6885";"Rebase küla";"24";
"6888";"Rebaski küla";"0";
"6890";"Rebaste küla";"38";
"6891";"Rebaste küla";"0";
"6894";"Rebu küla";"0";
"6897";"Reegoldi küla";"84";
"6898";"Rehatse küla";"0";
"6899";"Reeküla";"0";
"7438";"Sarve küla";"100";
"7441";"Sassi küla";"95";
"7444";"Sassukvere küla";"30";
"7447";"Satsu küla";"80";
"7450";"Sauaru küla";"0";
"7451";"Saue-Putla küla";"0";
"7452";"Saueaugu küla";"0";
"7453";"Saue linn";"0";
"7455";"Sauga alevik";"80";
"7456";"Saukse küla";"0";
"7457";"Saula küla";"67";
"7460";"Saulepa küla";"36";
"7461";"Saunaküla";"17";
"7462";"Saulepi küla";"0";
"7463";"Saunametsa küla";"0";
"7465";"Saunja küla";"84";
"7466";"Saunja küla";"14";
"7468";"Sauste küla";"12";
"7469";"Saustinõmme küla";"0";
"7470";"Saue-Mustla küla";"0";
"7472";"Sausti küla";"41";
"7476";"Sauvälja küla";"100";
"7477";"Savala küla";"100";
"7479";"Sava küla";"98";
"7481";"Savalduma küla";"87";
"7484";"Savastvere küla";"89";
"7486";"Saverna küla";"83";
"7489";"Saviaugu küla";"80";
"7491";"Savikoja küla";"100";
"7494";"Savikoti küla";"93";
"7499";"Savimetsa küla";"100";
"7500";"Savka küla";"0";
"7501";"Savimäe küla";"0";
"7502";"Saxby küla";"0";
"7505";"Seidla küla";"79";
"7508";"Seinapalu küla";"0";
"7511";"Seira küla";"86";
"7516";"Selgise küla";"0";
"7517";"Seli küla";"0";
"7518";"Seli küla";"7";
"7519";"Seli küla";"0";
"7521";"Seliküla";"0";
"7526";"Seliste küla";"83";
"7528";"Selja küla";"91";
"7529";"Selja küla";"100";
"7531";"Selja küla";"100";
"7532";"Selja küla";"100";
"7534";"Seljaküla";"0";
"7536";"Seljametsa küla";"90";
"7537";"Selja küla";"0";
"7539";"Selli küla";"44";
"7540";"Sepaküla";"0";
"7541";"Sepaküla";"100";
"7542";"Sepa küla";"0";
"7544";"Separa küla";"0";
"7550";"Seruküla";"0";
"7551";"Servaääre küla";"68";
"7554";"Sigala küla";"0";
"7560";"Sigaste küla";"1";
"7562";"Sigula küla";"0";
"7568";"Siiksaare küla";"92";
"7571";"Siimika küla";"0";
"7573";"Siimusti alevik";"100";
"6816";"Rannapungerja küla";"0";
"6817";"Rannaküla";"0";
"6818";"Rannaküla";"0";
"6819";"Ranniku küla";"81";
"6821";"Rannu küla";"96";
"6822";"Rannu alevik";"100";
"6825";"Rasina küla";"84";
"6826";"Rapla linn";"39";
"6827";"Rannu küla";"100";
"6828";"Rasivere küla";"68";
"6829";"Rasivere küla";"0";
"6831";"Rassi küla";"0";
"6832";"Rassiotsa küla";"0";
"6834";"Rassiku küla";"35";
"6836";"Rastla küla";"3";
"6842";"Ratla küla";"85";
"6844";"Ratva küla";"100";
"8102";"Tammessaare küla";"0";
"8104";"Tammetaguse küla";"0";
"8107";"Tammevaldma küla";"0";
"8108";"Tammiku küla";"0";
"8110";"Tammiku küla";"12";
"8111";"Tammiku küla";"100";
"8112";"Tammiku küla";"87";
"8113";"Tammiku küla";"88";
"8114";"Tammiku alevik";"0";
"8115";"Tammiku küla";"3";
"8116";"Tammiku küla";"0";
"8117";"Tammispää küla";"98";
"8120";"Tammiste küla";"26";
"8121";"Tammiste küla";"52";
"8123";"Tammistu küla";"69";
"8174";"Tealama küla";"42";
"8180";"Teedla küla";"92";
"8182";"Teenuse küla";"0";
"8187";"Telise küla / Tällnäs";"0";
"8188";"Teilma küla";"80";
"8189";"Teilma küla";"87";
"8190";"Tempa küla";"100";
"8193";"Tõreska küla";"0";
"8198";"Terepi küla";"49";
"8201";"Terikeste küla";"0";
"8208";"Tiduvere küla";"64";
"8210";"Tiheda küla";"100";
"8211";"Tigase küla";"0";
"8213";"Tihemetsa alevik";"96";
"8217";"Tiido küla";"38";
"8220";"Tiilima küla";"0";
"8230";"Tiitsuotsa küla";"0";
"8232";"Maidla küla";"0";
"8235";"Tila küla";"0";
"8236";"Tilga küla";"93";
"8238";"Tilga küla";"16";
"8240";"Tilla küla";"0";
"8247";"Tinnikuru küla";"56";
"8251";"Tipu küla";"0";
"8253";"Tirbi küla";"38";
"8254";"Tirbiku küla";"64";
"8257";"Tiskre küla";"61";
"8261";"Tobia küla";"94";
"8264";"Tobraselja küla";"58";
"8269";"Tohera küla";"100";
"8272";"Tohvri küla";"95";
"8275";"Toila alevik";"100";
"8278";"Tokolopi küla";"0";
"8279";"Tolla küla";"5";
"8283";"Tolli küla";"94";
"8289";"Toolamaa küla";"84";
"8290";"Toolamaa küla";"5";
"8295";"Tooma küla";"41";
"8900";"Vaivina küla";"13";
"8901";"Vakalepa küla";"100";
"8903";"Vajangu küla";"100";
"8909";"Vaki küla";"89";
"7579";"Sikakurmu küla";"0";
"7581";"Sikana küla";"68";
"7586";"Sikeldi küla";"74";
"7589";"Silla küla";"67";
"7591";"Silla küla";"0";
"7593";"Sillaotsa küla";"100";
"7595";"Sillapää küla";"100";
"7597";"Silmsi küla";"66";
"7598";"Silmsi küla";"0";
"8950";"Valjala-Ariste küla";"100";
"8951";"Valjala alevik";"90";
"8952";"Valjala-Kogula küla";"0";
"8953";"Valjala-Nurme küla";"93";
"8954";"Valkla küla";"58";
"8956";"Valkse küla";"100";
"8959";"Vallapalu küla";"86";
"8961";"Valli küla";"0";
"8964";"Valma küla";"76";
"8966";"Valmaotsa küla";"0";
"8970";"Valtu-Nurme küla";"72";
"8971";"Valtu küla";"97";
"8974";"Valuste küla";"95";
"8976";"Vana-Aespa küla";"6";
"8979";"Vana-Jõgeva küla";"9";
"8982";"Vana-Kaiu küla";"0";
"8984";"Vana-Kariste küla";"73";
"8987";"Vana-Kastre küla";"100";
"8992";"Vana-Kuuste küla";"97";
"8997";"Vana-Nurtu küla";"96";
"8999";"Vana-Otepää küla";"73";
"9615";"Vägeva küla";"94";
"9616";"Väike-Ahli küla";"0";
"9626";"Väike-Kõpu küla";"81";
"9628";"Väike-Maarja alevik";"99";
"9629";"Väike-Pahila küla";"100";
"9630";"Väike-Võhma küla";"100";
"9631";"Väike-Pungerja küla";"54";
"9632";"Väike-Rahula küla";"0";
"9633";"Väike-Rakke küla";"94";
"9634";"Väike-Rootsi küla";"0";
"9638";"Väinjärve küla";"78";
"9642";"Väkra küla";"0";
"9644";"Välgi küla";"0";
"9645";"Väljaküla";"87";
"9646";"Välgita küla";"0";
"9647";"Väike-Rakke küla";"0";
"9648";"Väike-Tammiku küla";"100";
"9649";"Väljaküla";"96";
"9652";"Väljaküla";"88";
"9653";"Väljaotsa küla";"100";
"9654";"Väljataguse küla";"0";
"9655";"Väljaotsa küla";"0";
"9656";"Väljataguse küla";"91";
"9717";"Õssu küla";"0";
"9721";"Õuna küla";"98";
"9725";"Õvanurme küla";"11";
"9728";"Õvi küla";"95";
"9729";"Äherdi küla";"0";
"9741";"Äiamaa küla";"0";
"9742";"Äila küla";"67";
"9748";"Äksi alevik";"100";
"9749";"Äksi küla";"100";
"9752";"Ämari alevik";"100";
"9755";"Ämbra küla";"79";
"9758";"Ämmuste küla";"47";
"9762";"Änari küla";"84";
"9765";"Ängi küla";"2";
"9767";"Änglema küla";"0";
"9770";"Änkküla";"100";
"9773";"Änniksaare küla";"0";
"9777";"Äntu küla";"43";
"9783";"Ärina küla";"77";
"9787";"Äteniidi küla";"64";
"9790";"Ätte küla";"0";
"9791";"Õhu küla";"100";
"9794";"Ääsmäe küla";"92";
"9799";"Õeste küla";"0";
"8911";"Villemi küla";"29";
"8914";"Valaste küla";"79";
"8917";"Valasti küla";"66";
"8919";"Valgejõe küla";"0";
"8922";"Valgemetsa küla";"98";
"8924";"Valgeranna küla";"95";
"8927";"Valgesoo küla";"76";
"8929";"Valgevälja küla";"53";
"8932";"Valgjärve küla";"81";
"8934";"Valgma küla";"32";
"8935";"Valgma küla";"100";
"8938";"Valgu küla";"100";
"8939";"Valgu küla";"100";
"8941";"Valguta küla";"94";
"8944";"Valila küla";"100";
"8946";"Valingu küla";"61";
"8947";"Valistre küla";"7";
"8949";"Valipe küla";"78";
"8977";"Vana-Antsla alevik";"100";
"8989";"Vana-Koiola küla";"79";
"8994";"Vana-Nursi küla";"100";
"9618";"Väheru küla";"97";
"9635";"Väike-Rõsna küla";"100";
"9636";"Väimela alevik";"100";
"9637";"Väiko-Serga küla";"100";
"9639";"Väiko-Härmä küla";"0";
"9641";"Väiso küla";"0";
"9651";"Väljaküla";"97";
"9707";"Õrsava küla";"44";
"9710";"Õru alevik";"100";
"9713";"Õruste küla";"69";
"9733";"Ädu küla";"77";
"9780";"Äriküla";"69";
"1706";"Haavapää küla";"93";
"1785";"Hauka küla";"6";
"1786";"Heeska küla";"0";
"1789";"Heedu küla";"0";
"1799";"Heisri küla";"21";
"1804";"Helbi küla";"4";
"1810";"Hellekunnu küla";"40";
"1815";"Helme alevik";"80";
"1838";"Hilana küla";"0";
"1839";"Hilläkeste küla";"100";
"1844";"Himma küla";"93";
"1849";"Himmiste küla";"17";
"1856";"Hinniala küla";"100";
"1857";"Hino küla";"21";
"1860";"Hinsa küla";"92";
"1876";"Holdi küla";"100";
"1883";"Holdre küla";"0";
"1886";"Holsta küla";"75";
"1894";"Horma küla";"67";
"1898";"Horsa küla";"100";
"2124";"Jaagupi küla";"100";
"2137";"Jaanikese küla";"100";
"2143";"Jaanimäe küla";"88";
"2145";"Jaanimäe küla";"0";
"2172";"Jantra küla";"13";
"2187";"Jeti küla";"35";
"2197";"Joosu küla";"66";
"2203";"Juba küla";"0";
"2212";"Juraski küla";"69";
"2221";"Juusa küla";"0";
"2242";"Jõepera küla";"0";
"2252";"Jõevaara küla";"0";
"2256";"Jõeveere küla";"0";
"2259";"Jõgehara küla";"73";
"2264";"Jõgeveste küla";"61";
"2277";"Jõksi küla";"77";
"2278";"Jõksi küla";"0";
"2820";"Kassiratta küla";"74";
"2821";"Kastamara küla";"0";
"2880";"Kaurutootsi küla";"3";
"2911";"Keema küla";"0";
"2914";"Keeni küla";"91";
"2961";"Keerba küla";"100";
"2963";"Kerepäälse küla";"0";
"2998";"Kibena küla";"64";
"3214";"Kobela alevik";"100";
"3277";"Koidula küla";"0";
"3280";"Koigera küla";"75";
"3286";"Koigu küla";"0";
"3287";"Koigu küla";"0";
"3329";"Kokõ küla";"0";
"3333";"Kolepi küla";"0";
"3334";"Kolga küla";"0";
"3353";"Kolli küla";"82";
"3355";"Kollino küla";"46";
"3358";"Kolodavitsa küla";"74";
"3359";"Kolossova küla";"0";
"3360";"Koloreino küla";"34";
"3369";"Komsi küla";"94";
"4620";"Lõve küla";"89";
"4670";"Lükkä küla";"0";
"4677";"Lüllemäe küla";"93";
"4689";"Lümatu küla";"54";
"4710";"Maaslova küla";"17";
"4715";"Madala küla";"67";
"4716";"Madi küla";"100";
"5210";"Mäessaare küla";"0";
"5229";"Mägiste küla";"65";
"5232";"Mäha küla";"0";
"5300";"Määsovitsa küla";"0";
"5304";"Möldre küla";"43";
"5306";"Möldri küla";"55";
"5307";"Möldri küla";"4";
"5314";"Mügra küla";"73";
"5355";"Naruski küla";"0";
"5376";"Navikõ küla";"0";
"5378";"Navi küla";"93";
"5387";"Nedsaja küla";"49";
"6017";"Parksepa alevik";"100";
"6025";"Partsi küla";"94";
"6042";"Patküla";"45";
"6045";"Pattina küla";"0";
"6089";"Peetrimõisa küla";"74";
"6094";"Pelsi küla";"0";
"6761";"Raiste küla";"79";
"6786";"Rampe küla";"75";
"6823";"Raotu küla";"0";
"6824";"Ransi küla";"13";
"6839";"Rasva küla";"0";
"6856";"Raudsepa küla";"95";
"6857";"Raudsepa küla";"41";
"6859";"Raudsepä küla";"0";
"6864";"Rauskapalu küla";"0";
"6887";"Rebasemõisa küla";"77";
"6889";"Rebaste küla";"73";
"6896";"Rebasmäe küla";"17";
"7439";"Sarvemäe küla";"100";
"7496";"Savilöövi küla";"0";
"7503";"Savioja küla";"0";
"7523";"Selise küla";"78";
"7547";"Serga küla";"0";
"7549";"Seretsüvä küla";"100";
"7553";"Sesniki küla";"100";
"7565";"Sihva küla";"97";
"7575";"Sikalaanõ küla";"100";
"7576";"Sika küla";"91";
